run_id,mode,profile,rep,fault,ground_truth_transitions,delivered_distinct,delivered_total,missing,phantom,malformed,loss_rate_ppm,loss_rate_upper_bound_95_ppm,duplicate_rate,ordering_violation_rate,latency_ms_p50,latency_ms_p95,latency_ms_p99,latency_ms_max,http_reqs,http_req_failed_rate,http_p95_ms,http_p99_ms,lifecycles,achieved_tps,redo_size_delta,redo_entries_delta,user_commits_delta,db_block_changes_delta,cpu_used_delta,log_file_sync_delta_us,redo_bytes_per_transition
WRAPPER_B2-P1-r1-F1R-20260909164613,WRAPPER_B2,P1,1,F1R,8952,8951,8951,1,0,0,111.71,,0.0,0.0,2,6,19,1109,14964,0.40183106121357925,8.70824984999997,370.7627159099697,2983,16.572100978982185,34768348,105805,8960,201066,965,10906799,3883.9
WRAPPER_B3-P1-r1-F1R-20260909165147,WRAPPER_B3,P1,1,F1R,8980,8980,8980,0,0,0,0.0,334.08,0.0,0.0,142,251,1285,133993,14987,0.4008807633282178,8.503202099999994,72.89014397999966,2993,16.62753640802527,79446836,223758,9246,377578,1945,8749475,8847.1
AQ-P1-r1-F1R-20260909165654,AQ,P1,1,F1R,8977,8977,8977,0,0,0,0.0,334.19,0.0,0.0,7,16,1420,135059,14986,0.40097424262645137,7.2870237499999995,21.17194639999999,2992,16.622014577984537,108644100,263666,12471,477580,2351,9648678,12102.5
CDC-P1-r1-F1R-20260909170231,CDC,P1,1,F1R,8973,8973,8973,0,0,0,0.0,334.34,0.0,0.0,2912,5164,6161,6461,14983,0.40112127077354337,7.944193499999999,21.421399260000026,2991,16.61651205565314,37247256,110421,9150,209671,1668,15197180,4151.0
HYBRID-P1-r1-F1R-20260909170811,HYBRID,P1,1,F1R,8958,8958,8958,0,0,0,0.0,334.9,0.0,0.0,3268,5315,5887,6288,14973,0.40172310158284913,17.972495399999996,240.99960664000062,2986,16.58870264383793,68810944,184852,9144,301969,2011,19808456,7681.5
WRAPPER_B3-P1-r1-F11B-20260909171341,WRAPPER_B3,P1,1,F11B,86577,86577,86577,0,0,0,0.0,34.65,0.0,0.0,11390,16238,16659,16865,26586,0,190.274342,932.7916979000038,8862,49.22841255338102,664773428,2068069,27139,3363546,9989,304147509,7678.4
HYBRID-P1-r1-F11B-20260909171908,HYBRID,P1,1,F11B,86517,24286,24286,62231,0,0,719292.16,,0.0,0.0,10237,17193,18018,18194,26529,0,270.89786979999946,3470.4639180800127,8843,49.12746326812482,569113180,1632609,26588,2596357,7955,427213699,6578.1
CDC-P1-r1-F4R-20260909172447,CDC,P1,1,F4R,45003,45003,45003,0,0,0,0.0,66.66,0.0,0.0,3860,64211,75800,78692,45003,0,8.207569800000005,17.606536040000012,15001,50.001556577855226,178461420,531241,45204,1010899,5124,48887332,3965.5
HYBRID-P1-r1-F4R-20260909173219,HYBRID,P1,1,F4R,44595,44595,44595,0,0,0,0.0,67.27,0.0,0.0,3917,63946,78661,81229,44595,0,16.65376959999998,312.616282859999,14865,49.54733719876228,322756120,907830,44796,1433650,7997,225684405,7237.5
CDC-P1-r1-F5R-20260909173932,CDC,P1,1,F5R,78000,78000,78000,0,0,0,0.0,38.46,0.0,0.0,3866,10171,11646,11991,63000,0,5.572168849999995,16.014616110000055,21000,49.99989714687825,346097556,1014008,63322,1857030,6814,57376352,4437.1
HYBRID-P1-r1-F5R-20260909174843,HYBRID,P1,1,F5R,77268,77268,77268,0,0,0,0.0,38.83,0.0,0.0,3572,13338,15377,15835,62271,0,100.52241699999999,2802.3588719000254,20757,49.42123056903372,549306036,1540224,62595,2448304,9853,846301305,7109.1
WRAPPER_B1-P1-r2-F1R-20260909175759,WRAPPER_B1,P1,2,F1R,8979,8978,8978,1,0,0,111.37,,0.0,0.0,0,1,2,946,14987,0.4008807633282178,6.970976999999999,201.87917715999785,2993,16.627662711857663,46242312,126161,9034,239688,1346,8254754,5150.1
WRAPPER_B2-P1-r2-F1R-20260909180308,WRAPPER_B2,P1,2,F1R,8460,8459,8459,1,0,0,118.2,,0.0,0.0,2,14,38,5084,14471,0.4153824891161634,143.9275035,5081.044608799989,2820,15.66649689658601,34223188,102967,8466,196251,1226,197324180,4045.3
WRAPPER_B3-P1-r2-F1R-20260909180828,WRAPPER_B3,P1,2,F1R,8641,8641,8641,0,0,0,0.0,347.18,0.0,0.0,171,1291,2771,137917,14653,0.41029140790281854,181.97110499999997,2404.4637879999823,2880,15.99989088127752,75707800,214341,8864,363079,2566,175840258,8761.5
WRAPPER_B3-P1-r1-F1-20260904131324,WRAPPER_B3,P1,1,F1,8979,8964,8964,15,0,0,1670.56,,0.0,0.0,125,229,1266,3163,14986,0.4008407847324169,6.83820725,30.117311849999343,2993,15.14730337149537,75678476,221587,9254,363423,1567,6159467,8428.4
AQ-P1-r2-F1R-20260909181348,AQ,P1,2,F1R,8966,8966,8966,0,0,0,0.0,334.6,0.0,0.0,9,122,1911,136067,14979,0.4014286668001869,8.8829431,47.431469659999244,2988,16.599846356894297,94329888,238622,12325,431956,2064,10198348,10520.8
CDC-P1-r2-F1R-20260909181929,CDC,P1,2,F1R,8960,8960,8960,0,0,0,0.0,334.82,0.0,0.0,3412,5738,6361,6899,14974,0.40169627354080406,9.211946499999996,88.21911362000108,2986,16.588679635874065,35418136,105613,9138,200491,1832,8496646,3952.9
HYBRID-P1-r2-F1R-20260909182514,HYBRID,P1,2,F1R,8637,8637,8637,0,0,0,0.0,347.34,0.0,0.0,2956,4708,8078,9888,14649,0.4104034405078845,133.5528392,2507.72942152001,2879,15.994276261519556,62207472,175081,8791,276630,1914,160566966,7202.4
WRAPPER_B3-P1-r2-F11B-20260909183006,WRAPPER_B3,P1,2,F11B,86982,86982,86982,0,0,0,0.0,34.49,0.0,0.0,15789,23644,23824,24126,27003,0,96.77583789999954,466.7097009599988,9001,49.99909367741082,674001084,2106693,27563,3417342,10771,86721219,7748.7
HYBRID-P1-r2-F11B-20260909183444,HYBRID,P1,2,F11B,86793,86793,86793,0,0,0,0.0,34.56,0.0,0.0,12237,21241,23302,24050,26814,0,102.73335954999993,558.8593644399971,8938,49.653774269712756,572139736,1641777,26953,2611581,9296,183113327,6592.0
CDC-P1-r2-F4R-20260909183947,CDC,P1,2,F4R,45003,45003,45003,0,0,0,0.0,66.66,0.0,0.0,3918,66791,78317,81183,45003,0,10.016622200000004,22.089538840000134,15001,50.001793975103915,180854188,532090,45199,1022814,5851,53657971,4018.7
HYBRID-P1-r2-F4R-20260909184642,HYBRID,P1,2,F4R,44250,44250,44250,0,0,0,0.0,67.8,0.0,0.0,4114,70095,80973,83442,44250,0,167.39217739999955,3344.9541846000047,14750,49.163887631540355,320184336,899459,44434,1422212,7390,683075297,7235.8
CDC-P1-r2-F5R-20260909185325,CDC,P1,2,F5R,77997,77997,77997,0,0,0,0.0,38.46,0.0,0.0,3722,13989,15411,15761,63003,0,6.301474899999991,16.02370499999992,21001,50.001169034403276,359850848,1035513,63370,1897491,7960,58887863,4613.6
HYBRID-P1-r2-F5R-20260909190203,HYBRID,P1,2,F5R,77976,77976,77976,0,0,0,0.0,38.47,0.0,0.0,3664,13108,15614,16056,62982,0,12.14772004999998,69.34591654000029,20994,49.983311187126965,554530036,1563245,63289,2475471,9411,81490283,7111.5
WRAPPER_B1-P1-r3-F1R-20260909191040,WRAPPER_B1,P1,3,F1R,8946,8946,8946,0,0,0,0.0,335.35,0.0,0.0,0,1,2,1285,14957,0.4018854048271712,7.008300399999994,506.648968,2982,16.566438758671303,34464592,105290,8946,199803,1047,7401859,3852.5
